HomeTeam,AwayTeam,FTR,HomeGoals,AwayGoals,StandingDiff,HomeWins,AwayWins,AvgHomeGoals,AvgAwayGoals,AvgHomeShots,AvgAwayShots,AvgHomeShotsOnTarget,AvgAwayShotsOnTarget,AvgHomeCorners,AvgAwayCorners,AvgHomeGoalsConceded,AvgAwayGoalsConceded,AvgHomeShotsConceded,AvgAwayShotsConceded,Year,Day
21,35,1,2,2,-5,60.0,20.0,1.6,1.2,14.6,8.8,7.0,5.2,6.0,3.0,0.8,1.6,10.2,18.6,2012,25
23,12,0,0,1,10,20.0,0.0,1.4,0.6,13.2,12.0,6.8,6.8,5.8,5.2,2.0,2.0,14.4,17.8,2012,25
32,28,2,4,0,1,0.0,60.0,0.6,1.6,12.8,9.6,6.4,6.4,7.6,4.8,1.4,1.0,12.0,16.6,2012,25
34,1,1,0,0,7,0.0,60.0,0.6,1.8,11.8,12.6,6.4,7.4,6.2,5.2,1.4,1.2,11.6,13.8,2012,25
0,30,2,5,2,-1,60.0,20.0,2.2,1.2,16.6,13.4,9.6,8.0,8.6,7.0,0.8,1.2,6.2,12.0,2012,26
22,19,0,1,2,17,40.0,60.0,1.4,2.4,13.2,12.4,7.2,9.0,3.8,7.0,1.0,1.4,14.0,13.0,2012,26
27,29,2,2,0,-5,20.0,40.0,1.0,0.8,9.6,8.2,4.2,4.0,6.4,2.8,1.2,0.8,10.8,13.0,2012,26
2,1,1,1,1,6,40.0,40.0,1.6,1.4,15.2,11.2,8.4,5.8,6.4,4.6,1.8,1.0,13.4,13.2,2012,3
17,0,0,1,2,2,40.0,40.0,1.0,1.4,18.4,13.0,10.0,8.0,10.2,5.8,0.4,1.4,5.6,12.4,2012,3
18,3,2,2,0,-11,100.0,40.0,3.0,0.8,15.8,9.8,10.8,4.8,6.6,7.2,0.4,2.0,9.0,18.6,2012,3
23,11,1,1,1,11,20.0,20.0,1.4,0.8,14.4,9.6,7.8,4.6,6.0,4.6,1.8,1.0,12.0,11.0,2012,3
27,22,2,1,0,-5,20.0,60.0,1.0,1.8,9.4,13.6,4.0,7.8,6.6,6.0,1.0,1.8,10.0,13.8,2012,3
32,9,2,1,0,9,20.0,20.0,1.2,0.8,13.8,16.4,7.4,9.2,6.4,7.0,1.0,1.0,12.6,9.4,2012,3
34,29,0,0,2,-2,0.0,40.0,0.4,0.8,11.6,9.8,6.2,5.2,7.6,3.4,1.2,1.2,11.6,11.4,2012,3
12,35,2,5,0,-9,60.0,20.0,2.0,1.4,13.6,8.0,6.6,4.8,4.4,3.2,2.0,1.2,14.6,16.8,2012,4
21,28,1,1,1,2,60.0,60.0,2.0,1.6,13.8,10.0,7.4,6.4,4.8,4.8,1.2,1.6,11.0,17.0,2012,4
30,19,0,1,3,4,80.0,60.0,2.4,2.4,18.8,10.8,10.6,8.4,7.4,5.8,0.4,1.6,8.2,14.0,2012,4
